,Country/Region,4/4/20_x,4/4/20_y,ratio
0,Albania,333,20,6.006006006006006
1,Andorra,466,17,3.648068669527897
2,Austria,11781,186,1.578813343519226
3,Belarus,440,5,1.1363636363636365
4,Belgium,18431,1283,6.9610981498562206
5,Bosnia and Herzegovina,624,21,3.3653846153846154
6,Bulgaria,503,17,3.3797216699801194
7,Croatia,1126,12,1.0657193605683837
8,Cyprus,426,11,2.5821596244131455
9,Denmark,4077,161,3.948982094677459
10,Estonia,1039,13,1.2512030798845042
11,Finland,1882,25,1.3283740701381508
12,France,89953,7560,8.404388958678421
13,Germany,96092,1444,1.5027265537193522
14,Greece,1673,68,4.064554692169755
15,Hungary,678,32,4.71976401179941
16,Iceland,1417,4,0.2822865208186309
17,Ireland,4604,137,2.975673327541269
18,Italy,124632,15362,12.325887412542526
19,Latvia,509,1,0.19646365422396855
20,Liechtenstein,77,1,1.2987012987012987
21,Lithuania,771,11,1.4267185473411155
22,Luxembourg,2729,31,1.1359472334188347
23,Malta,213,0,0.0
24,Moldova,752,12,1.5957446808510638
25,Monaco,66,1,1.5151515151515151
26,Montenegro,201,2,0.9950248756218906
27,Netherlands,16627,1651,9.929632525410478
28,North Macedonia,483,17,3.5196687370600417
29,Norway,5550,62,1.1171171171171173
30,Poland,3627,79,2.178108629721533
31,Portugal,10524,266,2.5275560623337134
32,Romania,3613,146,4.040963188486023
33,Russia,4731,43,0.9088987529063622
34,San Marino,259,32,12.355212355212355
35,Serbia,1624,44,2.70935960591133
36,Slovakia,471,1,0.21231422505307856
37,Slovenia,977,22,2.2517911975435005
38,Spain,126168,11947,9.46912053769577
39,Sweden,6443,373,5.789228620207978
40,Switzerland,20505,666,3.2479882955376738
41,Turkey,23934,501,2.0932564552519426
42,Ukraine,1225,32,2.612244897959184
43,United Kingdom,41903,4313,10.292819129895234
